User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:2),11,前進,2,0,0,2,0,0.0
1P(ID:2),103,ラッシュ攻撃,8,16,0,-8,531,66.4
1P(ID:2),104,アッパー,4,2,0,2,106,26.5
1P(ID:2),301,強攻撃,10,5,0,5,270,27.0
1P(ID:2),102,横攻撃,3,3,0,0,67,22.3
1P(ID:2),105,前進アッパー,2,0,0,2,0,0.0
1P(ID:2),302,叩きつけ,3,1,0,2,38,12.7
1P(ID:2),2,ジャンプ,2,0,0,2,0,0.0
1P(ID:2),303,ラリアット,1,0,0,1,0,0.0
1P(ID:2),5,ニュートラル,1,0,0,1,0,0.0
2P(ID:1),106,飛び蹴り,1,1,0,0,31,31.0
2P(ID:1),104,アッパー,8,5,0,3,198,24.8
2P(ID:1),202,空中蹴り,2,2,0,0,103,51.5
2P(ID:1),7,しゃがみ,6,0,0,6,0,0.0
2P(ID:1),203,しゃがみ上段蹴り,6,3,0,3,115,19.2
2P(ID:1),5,ニュートラル,6,0,0,6,0,0.0
2P(ID:1),103,ラッシュ攻撃,1,0,0,1,0,0.0
2P(ID:1),108,スライディング,0,2,0,-2,32,0.0
2P(ID:1),2,ジャンプ,1,0,0,1,0,0.0
2P(ID:1),107,下段蹴り,2,1,0,1,21,10.5
2P(ID:1),105,前進アッパー,2,1,0,1,42,21.0
2P(ID:1),201,かかと落とし,5,1,0,4,36,7.2
2P(ID:1),101,弱攻撃,2,0,0,2,0,0.0
