User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:4),501,溜め攻撃,15,3,0,12,603,40.2
1P(ID:4),106,飛び蹴り,4,3,0,1,181,45.3
1P(ID:4),11,前進,4,0,0,4,0,0.0
1P(ID:4),13,振り向き,3,0,0,3,0,0.0
1P(ID:4),104,アッパー,3,1,0,2,80,26.7
1P(ID:4),502,猫だまし,6,2,0,4,20,3.3
1P(ID:4),101,弱攻撃,3,0,0,3,0,0.0
1P(ID:4),2,ジャンプ,1,0,0,1,0,0.0
1P(ID:4),105,前進アッパー,1,0,0,1,0,0.0
1P(ID:4),8,ガード,2,0,0,2,0,0.0
1P(ID:4),111,カウンター攻撃,1,0,0,1,0,0.0
2P(ID:6),701,爆発罠,14,7,0,7,219,15.6
2P(ID:6),12,後退,17,0,0,17,0,0.0
2P(ID:6),703,大爆発罠,4,2,0,2,126,31.5
2P(ID:6),8,ガード,2,0,0,2,0,0.0
2P(ID:6),5,ニュートラル,3,0,0,3,0,0.0
2P(ID:6),2,ジャンプ,1,0,0,1,0,0.0
2P(ID:6),106,飛び蹴り,1,0,0,1,0,0.0
2P(ID:6),13,振り向き,3,0,0,3,0,0.0
2P(ID:6),105,前進アッパー,3,0,0,3,0,0.0
2P(ID:6),103,ラッシュ攻撃,5,5,0,0,125,25.0
2P(ID:6),702,打ち上げ罠,2,2,0,0,58,29.0
2P(ID:6),104,アッパー,2,1,0,1,56,28.0
2P(ID:6),11,前進,2,0,0,2,0,0.0
