User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:2),11,前進,7,0,0,7,0,0.0
1P(ID:2),106,飛び蹴り,4,0,0,4,0,0.0
1P(ID:2),303,ラリアット,11,12,0,-1,426,38.7
1P(ID:2),104,アッパー,7,4,0,3,209,29.9
1P(ID:2),5,ニュートラル,11,0,0,11,0,0.0
1P(ID:2),301,強攻撃,8,3,0,5,142,17.8
1P(ID:2),102,横攻撃,1,1,0,0,20,20.0
1P(ID:2),105,前進アッパー,5,1,0,4,58,11.6
1P(ID:2),302,叩きつけ,9,0,0,9,0,0.0
1P(ID:2),2,ジャンプ,4,0,0,4,0,0.0
2P(ID:6),701,爆発罠,17,10,0,7,326,19.2
2P(ID:6),12,後退,20,0,0,20,0,0.0
2P(ID:6),703,大爆発罠,5,2,0,3,104,20.8
2P(ID:6),8,ガード,5,0,0,5,0,0.0
2P(ID:6),5,ニュートラル,7,0,0,7,0,0.0
2P(ID:6),105,前進アッパー,3,0,0,3,0,0.0
2P(ID:6),11,前進,2,0,0,2,0,0.0
2P(ID:6),13,振り向き,3,0,0,3,0,0.0
2P(ID:6),103,ラッシュ攻撃,3,0,0,3,0,0.0
2P(ID:6),2,ジャンプ,2,0,0,2,0,0.0
2P(ID:6),106,飛び蹴り,0,1,0,-1,36,0.0
2P(ID:6),702,打ち上げ罠,1,1,0,0,27,27.0
2P(ID:6),104,アッパー,1,0,0,1,0,0.0
