User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:3),11,前進,11,0,0,11,0,0.0
1P(ID:3),403,キラースライド,25,8,0,17,506,20.2
1P(ID:3),106,飛び蹴り,11,1,0,10,92,8.4
1P(ID:3),13,振り向き,1,0,0,1,0,0.0
1P(ID:3),401,トンボ返り,1,1,0,0,108,108.0
1P(ID:3),402,強攻撃,1,0,0,1,0,0.0
1P(ID:3),102,横攻撃,1,1,0,0,60,60.0
2P(ID:4),8,ガード,15,0,0,15,0,0.0
2P(ID:4),501,溜め攻撃,18,0,0,18,0,0.0
2P(ID:4),11,前進,11,0,0,11,0,0.0
2P(ID:4),2,ジャンプ,1,0,0,1,0,0.0
2P(ID:4),105,前進アッパー,1,0,0,1,0,0.0
2P(ID:4),13,振り向き,2,0,0,2,0,0.0
2P(ID:4),104,アッパー,1,0,0,1,0,0.0
2P(ID:4),502,猫だまし,1,0,0,1,0,0.0
2P(ID:4),101,弱攻撃,1,0,0,1,0,0.0
2P(ID:4),106,飛び蹴り,1,1,0,0,60,60.0
