User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:2),11,前進,25,0,0,25,0,0.0
1P(ID:2),102,横攻撃,20,2,0,18,67,3.4
1P(ID:2),303,ラリアット,45,12,3,30,527,11.7
1P(ID:2),104,アッパー,21,3,0,18,213,10.1
1P(ID:2),101,弱攻撃,20,1,0,19,29,1.5
1P(ID:2),5,ニュートラル,36,0,0,36,0,0.0
1P(ID:2),301,強攻撃,18,1,1,16,56,3.1
1P(ID:2),105,前進アッパー,5,1,0,4,57,11.4
1P(ID:2),302,叩きつけ,9,1,0,8,47,5.2
1P(ID:2),2,ジャンプ,4,0,0,4,0,0.0
2P(ID:1),106,飛び蹴り,10,2,0,8,58,5.8
2P(ID:1),104,アッパー,18,0,0,18,0,0.0
2P(ID:1),202,空中蹴り,25,3,0,22,153,6.1
2P(ID:1),11,前進,9,0,0,9,0,0.0
2P(ID:1),105,前進アッパー,25,0,0,25,0,0.0
2P(ID:1),201,かかと落とし,25,2,0,23,61,2.4
2P(ID:1),8,ガード,6,0,0,6,0,0.0
2P(ID:1),108,スライディング,15,8,0,7,110,7.3
2P(ID:1),7,しゃがみ,8,0,0,8,0,0.0
2P(ID:1),203,しゃがみ上段蹴り,7,3,0,4,99,14.1
2P(ID:1),5,ニュートラル,20,0,0,20,0,0.0
2P(ID:1),2,ジャンプ,13,0,0,13,0,0.0
2P(ID:1),12,後退,3,0,0,3,0,0.0
2P(ID:1),103,ラッシュ攻撃,2,2,0,0,26,13.0
2P(ID:1),107,下段蹴り,3,3,0,0,53,17.7
2P(ID:1),101,弱攻撃,3,0,0,3,0,0.0
