User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:1),106,飛び蹴り,2,0,0,2,0,0.0
1P(ID:1),202,空中蹴り,11,4,0,7,211,19.2
1P(ID:1),11,前進,2,0,0,2,0,0.0
1P(ID:1),108,スライディング,10,6,0,4,96,9.6
1P(ID:1),105,前進アッパー,10,4,0,6,165,16.5
1P(ID:1),101,弱攻撃,2,1,0,1,22,11.0
1P(ID:1),203,しゃがみ上段蹴り,6,3,0,3,127,21.2
1P(ID:1),104,アッパー,6,3,0,3,129,21.5
1P(ID:1),201,かかと落とし,11,2,0,9,72,6.5
1P(ID:1),7,しゃがみ,7,0,0,7,0,0.0
1P(ID:1),107,下段蹴り,4,0,0,4,0,0.0
1P(ID:1),2,ジャンプ,1,0,0,1,0,0.0
1P(ID:1),5,ニュートラル,5,0,0,5,0,0.0
2P(ID:6),701,爆発罠,16,13,0,3,439,27.4
2P(ID:6),12,後退,18,0,0,18,0,0.0
2P(ID:6),703,大爆発罠,7,8,0,-1,520,74.3
2P(ID:6),8,ガード,4,0,0,4,0,0.0
2P(ID:6),5,ニュートラル,9,0,0,9,0,0.0
2P(ID:6),11,前進,7,0,0,7,0,0.0
2P(ID:6),105,前進アッパー,2,0,0,2,0,0.0
2P(ID:6),102,横攻撃,3,0,0,3,0,0.0
2P(ID:6),13,振り向き,4,0,0,4,0,0.0
2P(ID:6),2,ジャンプ,3,0,0,3,0,0.0
2P(ID:6),106,飛び蹴り,1,0,0,1,0,0.0
2P(ID:6),702,打ち上げ罠,2,0,0,2,0,0.0
2P(ID:6),104,アッパー,1,0,0,1,0,0.0
2P(ID:6),103,ラッシュ攻撃,1,1,0,0,37,37.0
