User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:2),11,前進,20,0,0,20,0,0.0
1P(ID:2),303,ラリアット,32,9,0,23,369,11.5
1P(ID:2),101,弱攻撃,3,0,0,3,0,0.0
1P(ID:2),5,ニュートラル,27,0,0,27,0,0.0
1P(ID:2),106,飛び蹴り,13,6,0,7,335,25.8
1P(ID:2),104,アッパー,20,2,0,18,113,5.7
1P(ID:2),301,強攻撃,17,1,0,16,57,3.4
1P(ID:2),105,前進アッパー,6,0,0,6,0,0.0
1P(ID:2),302,叩きつけ,12,1,0,11,46,3.8
1P(ID:2),2,ジャンプ,6,0,0,6,0,0.0
1P(ID:2),102,横攻撃,8,1,0,7,29,3.6
2P(ID:3),11,前進,20,0,0,20,0,0.0
2P(ID:3),403,キラースライド,50,15,0,35,507,10.1
2P(ID:3),106,飛び蹴り,19,4,0,15,133,7.0
2P(ID:3),13,振り向き,11,0,0,11,0,0.0
2P(ID:3),107,下段蹴り,2,0,0,2,0,0.0
2P(ID:3),401,トンボ返り,8,4,0,4,202,25.3
2P(ID:3),102,横攻撃,3,1,0,2,21,7.0
2P(ID:3),402,強攻撃,3,0,0,3,0,0.0
2P(ID:3),108,スライディング,2,0,0,2,0,0.0
