User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:1),106,飛び蹴り,6,0,0,6,0,0.0
1P(ID:1),202,空中蹴り,16,7,0,9,360,22.5
1P(ID:1),11,前進,6,0,0,6,0,0.0
1P(ID:1),108,スライディング,10,3,0,7,43,4.3
1P(ID:1),105,前進アッパー,13,4,0,9,164,12.6
1P(ID:1),101,弱攻撃,5,3,0,2,66,13.2
1P(ID:1),2,ジャンプ,5,0,0,5,0,0.0
1P(ID:1),201,かかと落とし,10,0,0,10,0,0.0
1P(ID:1),104,アッパー,10,2,0,8,84,8.4
1P(ID:1),12,後退,2,0,0,2,0,0.0
1P(ID:1),103,ラッシュ攻撃,2,0,0,2,0,0.0
1P(ID:1),5,ニュートラル,5,0,0,5,0,0.0
1P(ID:1),203,しゃがみ上段蹴り,6,2,0,4,83,13.8
1P(ID:1),7,しゃがみ,4,0,0,4,0,0.0
1P(ID:1),107,下段蹴り,2,0,0,2,0,0.0
2P(ID:6),701,爆発罠,25,13,0,12,467,18.7
2P(ID:6),12,後退,23,0,0,23,0,0.0
2P(ID:6),703,大爆発罠,9,1,0,8,63,7.0
2P(ID:6),8,ガード,8,0,0,8,0,0.0
2P(ID:6),5,ニュートラル,17,0,0,17,0,0.0
2P(ID:6),11,前進,6,0,0,6,0,0.0
2P(ID:6),105,前進アッパー,8,0,0,8,0,0.0
2P(ID:6),102,横攻撃,5,0,0,5,0,0.0
2P(ID:6),103,ラッシュ攻撃,4,0,0,4,0,0.0
2P(ID:6),702,打ち上げ罠,1,1,0,0,24,24.0
2P(ID:6),104,アッパー,1,0,0,1,0,0.0
2P(ID:6),13,振り向き,2,0,0,2,0,0.0
2P(ID:6),2,ジャンプ,1,0,0,1,0,0.0
2P(ID:6),106,飛び蹴り,0,1,0,-1,37,0.0
