User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:2),11,前進,20,0,0,20,0,0.0
1P(ID:2),106,飛び蹴り,9,4,0,5,201,22.3
1P(ID:2),303,ラリアット,36,12,0,24,588,16.3
1P(ID:2),104,アッパー,23,1,0,22,47,2.0
1P(ID:2),5,ニュートラル,28,0,0,28,0,0.0
1P(ID:2),101,弱攻撃,4,0,0,4,0,0.0
1P(ID:2),301,強攻撃,18,1,0,17,47,2.6
1P(ID:2),102,横攻撃,13,0,0,13,0,0.0
1P(ID:2),105,前進アッパー,2,0,0,2,0,0.0
1P(ID:2),302,叩きつけ,4,1,0,3,36,9.0
1P(ID:2),2,ジャンプ,2,0,0,2,0,0.0
2P(ID:3),11,前進,16,0,0,16,0,0.0
2P(ID:3),403,キラースライド,52,14,0,38,498,9.6
2P(ID:3),106,飛び蹴り,15,4,0,11,132,8.8
2P(ID:3),13,振り向き,15,0,0,15,0,0.0
2P(ID:3),401,トンボ返り,8,3,0,5,116,14.5
2P(ID:3),107,下段蹴り,3,0,0,3,0,0.0
2P(ID:3),108,スライディング,1,2,0,-1,38,38.0
2P(ID:3),402,強攻撃,3,2,0,1,82,27.3
2P(ID:3),102,横攻撃,3,0,0,3,0,0.0
