User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:1),106,飛び蹴り,2,0,0,2,0,0.0
1P(ID:1),202,空中蹴り,9,4,0,5,208,23.1
1P(ID:1),2,ジャンプ,3,0,0,3,0,0.0
1P(ID:1),105,前進アッパー,7,1,0,6,41,5.9
1P(ID:1),201,かかと落とし,10,1,0,9,36,3.6
1P(ID:1),104,アッパー,7,4,0,3,171,24.4
1P(ID:1),11,前進,1,0,0,1,0,0.0
1P(ID:1),108,スライディング,8,6,0,2,99,12.4
1P(ID:1),101,弱攻撃,1,0,0,1,0,0.0
1P(ID:1),12,後退,2,0,0,2,0,0.0
1P(ID:1),103,ラッシュ攻撃,2,2,0,0,47,23.5
1P(ID:1),5,ニュートラル,5,0,0,5,0,0.0
1P(ID:1),7,しゃがみ,5,0,0,5,0,0.0
1P(ID:1),203,しゃがみ上段蹴り,6,5,0,1,212,35.3
1P(ID:1),107,下段蹴り,3,0,0,3,0,0.0
2P(ID:6),701,爆発罠,12,8,0,4,255,21.3
2P(ID:6),12,後退,17,0,0,17,0,0.0
2P(ID:6),703,大爆発罠,6,4,0,2,259,43.2
2P(ID:6),8,ガード,5,0,0,5,0,0.0
2P(ID:6),5,ニュートラル,8,0,0,8,0,0.0
2P(ID:6),11,前進,4,0,0,4,0,0.0
2P(ID:6),105,前進アッパー,2,0,0,2,0,0.0
2P(ID:6),102,横攻撃,2,0,0,2,0,0.0
2P(ID:6),103,ラッシュ攻撃,2,2,0,0,56,28.0
2P(ID:6),2,ジャンプ,1,0,0,1,0,0.0
2P(ID:6),106,飛び蹴り,1,0,0,1,0,0.0
2P(ID:6),13,振り向き,1,0,0,1,0,0.0
2P(ID:6),702,打ち上げ罠,3,0,0,3,0,0.0
2P(ID:6),104,アッパー,2,0,0,2,0,0.0
