User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:5),601,波動弾,10,8,0,2,332,33.2
1P(ID:5),603,速射弾,41,25,0,16,412,10.0
1P(ID:5),602,エネルギー弾,18,15,0,3,334,18.6
1P(ID:5),12,後退,4,0,0,4,0,0.0
1P(ID:5),2,ジャンプ,3,0,0,3,0,0.0
1P(ID:5),604,緊急回避,8,0,0,8,0,0.0
1P(ID:5),13,振り向き,4,0,0,4,0,0.0
2P(ID:2),11,前進,12,0,0,12,0,0.0
2P(ID:2),106,飛び蹴り,2,0,0,2,0,0.0
2P(ID:2),104,アッパー,8,3,0,5,151,18.9
2P(ID:2),5,ニュートラル,9,0,0,9,0,0.0
2P(ID:2),301,強攻撃,8,3,0,5,151,18.9
2P(ID:2),102,横攻撃,5,1,0,4,30,6.0
2P(ID:2),303,ラリアット,10,6,0,4,191,19.1
2P(ID:2),105,前進アッパー,3,0,0,3,0,0.0
2P(ID:2),302,叩きつけ,6,0,0,6,0,0.0
2P(ID:2),2,ジャンプ,3,0,0,3,0,0.0
2P(ID:2),101,弱攻撃,2,1,0,1,28,14.0
