User,MoveID,MoveName,UseCount,HitCount,BlockedCount,WhiffCount,TotalDamage,AvgDamage
1P(ID:6),701,爆発罠,22,8,0,14,210,9.5
1P(ID:6),105,前進アッパー,3,0,0,3,0,0.0
1P(ID:6),103,ラッシュ攻撃,4,3,2,-1,87,21.8
1P(ID:6),2,ジャンプ,7,0,0,7,0,0.0
1P(ID:6),106,飛び蹴り,7,2,1,4,84,12.0
1P(ID:6),13,振り向き,8,0,0,8,0,0.0
1P(ID:6),12,後退,12,0,0,12,0,0.0
1P(ID:6),703,大爆発罠,5,5,0,0,204,40.8
1P(ID:6),11,前進,5,0,0,5,0,0.0
1P(ID:6),702,打ち上げ罠,3,3,0,0,78,26.0
1P(ID:6),5,ニュートラル,5,0,0,5,0,0.0
1P(ID:6),104,アッパー,2,0,0,2,0,0.0
1P(ID:6),102,横攻撃,1,0,0,1,0,0.0
1P(ID:6),8,ガード,1,0,0,1,0,0.0
2P(ID:7),801,大ガード,31,3,0,28,72,2.3
2P(ID:7),802,シールドバッシュ,30,39,0,-9,607,20.2
2P(ID:7),104,アッパー,4,2,0,2,87,21.8
2P(ID:7),101,弱攻撃,7,3,0,4,61,8.7
2P(ID:7),109,掴み攻撃,1,0,0,1,0,0.0
