ID,コマンド技,使用可能キャラ,消費フレーム,攻撃判定発生フレーム,持続フレーム,コンボ数,ダメージ,SA値(優先順位),SA削り値,仰け反り値,判定,判定最小（X）,判定最大（X),判定最小（Y),判定最大（Y),移動距離(X),移動距離(Y),移動開始フレーム(X),移動終了フレーム(X),移動開始フレーム(Y),移動終了フレーム(Y),吹き飛ばしベクトル,吹き飛ばし（X),吹き飛ばし（Y),空中使用可否(0は両方1は地上のみ2は空中のみ),"攻撃種類(0:打撃,1:弾)",射出速度(X),射出速度(Y),最大同時発生数,弾寿命,派生先
1,左上移動,0,1,,,,0,0,0,,,,,,,0.7,0.7,,,,,,,,1,0,,,,,
2,ジャンプ,0,1,,,,0,0,0,,,,,,,0,1,,,,,,,,0,0,,,,,
3,右上移動,0,1,,,,0,0,0,,,,,,,0.7,0.7,,,,,,,,1,0,,,,,
4,左移動,0,1,,,,0,0,0,,,,,,,1,0,,,,,,,,0,0,,,,,
5,ニュートラル,0,1,,,,0,0,0,,,,,,,0,0,,,,,,,,0,0,,,,,
6,右移動,0,1,,,,0,0,0,,,,,,,1,0,,,,,,,,0,0,,,,,
7,しゃがみ,0,1,,,,0,0,0,,,,,,,0,0,,,,,,,,0,0,,,,,
8,ガード,0,1,,,,0,0,0,,,0,0.5,0.4,1,0,0,,,,,,,,0,0,,,,,
9,左向きニュートラル,0,1,,,,0,0,0,,,,,,,0,0,,,,,,,,0,0,,,,,
10,右向きニュートラル,0,1,,,,0,0,0,,,,,,,0,0,,,,,,,,0,0,,,,,
11,前進,0,1,,,,0,0,0,,,,,,,1,0,,,,,,,,0,0,,,,,
12,後退,0,1,,,,0,0,0,,,,,,,-1,0,,,,,,,,0,0,,,,,
13,振り向き,0,1,,,,0,0,0,,,,,,,0,0,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,コマンド技,使用可能キャラ,消費フレーム,攻撃判定発生フレーム,持続フレーム,コンボ数,ダメージ,SA値(優先順位),SA削り値,仰け反り値,判定,判定最小（X）,判定最大（X),判定最小（Y),判定最大（Y),移動距離(X),移動距離(Y),移動開始フレーム(X),移動終了フレーム(X),移動開始フレーム(Y),移動終了フレーム(Y),吹き飛ばしベクトル,吹き飛ばし（X),吹き飛ばし（Y),空中使用可否,"攻撃種類(0:打撃,1:弾)",射出速度(X),射出速度(Y),最大同時発生数,弾寿命,派生先
14,弱攻撃,0,1,1,1,1,20,0,1,1,中,0,1,0.6,0.8,0,0,,,,,真後ろ,0.2,,0,0,,,,,
15,横攻撃,0,2,2,1,1,20,0,1,1,中,0,1,0.55,0.8,1,0,1,1,,,真後ろ,0.5,,0,0,,,,,
16,ラッシュ攻撃,0,4,"1,2,3",1,"1,1,1","15,15,30",0,1,"1,1,1","中,中,中下","0,0,0","1,1,1","0.6,0.6,0.4","0.8,0.8,0.8",0.5,0,1,3,,,真後ろ,"0.2,0.2,0.5",,0,0,,,,,
17,アッパー,0,2,1,1,1,40,1,1,2,上,0,0.7,0.8,1.4,0,1,,,1,2,上,0.2,1,0,0,,,,,
18,前進アッパー,0,3,2,1,1,40,1,2,2,中上,0,1.1,0.75,1.2,1,1,1,2,2,3,斜め上,0.5,1,0,0,,,,,
19,飛び蹴り,0,3,2,2,1,30,1,1,2,下,0,1.5,-0.4,0.3,1.2,"1,-0.05",2,3,"1,2","2,3",真後ろ,1,,1,0,,,,,
20,下段蹴り,0,2,1,2,1,20,0,1,2,下,0,1.2,0.25,0.55,0,0,,,,,前方（こける感じで）,0.2,,1,0,,,,,
21,スライディング,0,3,"2,3",1,"1,1","10,20",0,1,"1,2",下、下,"0,0","1,1","0.25,0.25","0.55,0.55",1.5,0,1,3,,,前方（こける感じで）,"0.5,1",,1,0,,,,,
22,掴み攻撃,0,2,2,1,1,40,0,貫通,3,中,0,0.6,0.4,0.7,0,0,,,,,斜め上,0.5,0.5,0,0,,,,,
23,掴み投げ,0,3,2,1,1,40,0,貫通,3,投げ,0,0.6,0.4,0.7,0,0,,,,,下にたたき付ける,0.3,-1,1,0,,,,,
24,カウンター攻撃,0,3,2,1,1,10,0,1,2,中,0,1,0.6,0.8,0,0,,,,,真後ろ,0.2,,1,0,,,,,111_C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
スタンダード固有コマンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,コマンド技,使用可能キャラ,消費フレーム,攻撃判定発生フレーム,持続フレーム,コンボ数,ダメージ,SA値(優先順位),SA削り値,仰け反り値,判定,判定最小（X）,判定最大（X),判定最小（Y),判定最大（Y),移動距離(X),移動距離(Y),移動開始フレーム(X),移動終了フレーム(X),移動開始フレーム(Y),移動終了フレーム(Y),吹き飛ばしベクトル,吹き飛ばし（X),吹き飛ばし（Y),空中使用可否,"攻撃種類(0:打撃,1:弾)",射出速度(X),射出速度(Y),最大同時発生数,弾寿命,派生先
101,かかと落とし,1,2,1,1,1,35,0,2,1,中下,0,0.8,-0.7,0.2,0,-1,,,,,下にたたきつける,0,-1,2,0,,,,,
102,空中蹴り,1,2,1,2,1,50,1,1,2,中上,0,1.1,-0.3,0.8,0.2,1,1,2,1,2,真上,0.2,0.7,2,0,,,,,
103,しゃがみ上段蹴り,1,2,1,2,1,40,0,1,2,上,0,0.8,0.75,1.45,0,0,,,,,真後ろ,0.2,0.2,1,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重戦車固有コマンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,コマンド技,使用可能キャラ,消費フレーム,攻撃判定発生フレーム,持続フレーム,コンボ数,ダメージ,SA値(優先順位),SA削り値,仰け反り値,判定,判定最小（X）,判定最大（X),判定最小（Y),判定最大（Y),移動距離(X),移動距離(Y),移動開始フレーム(X),移動終了フレーム(X),移動開始フレーム(Y),移動終了フレーム(Y),吹き飛ばしベクトル,吹き飛ばし（X),吹き飛ばし（Y),空中使用可否,"攻撃種類(0:打撃,1:弾)",射出速度(X),射出速度(Y),最大同時発生数,弾寿命,派生先
201,強攻撃,2,2,2,1,1,40,1,2,1,中,0,1,0.6,0.8,0.2,0,1,1,,,真後ろ,1.2,0,0,0,,,,,
202,叩きつけ,2,2,1,1,1,40,0,1,1,下,0,1,-0.4,0.5,0.2,0,1,2,,,下,0.2,-1,2,0,,,,,
203,ラリアット,2,3,"1,3","2,1","1,1","10,35",1,1,"2,1",上,"0,0","1,1.2","0.6,0.5","1.1,1",1.5,0,1,3,,,真後ろ,"1.5,0.4","0,-0.4",1,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
